site,pass,pass.int,location,site.index,propPO,habitat,date2,species,SVLmean,tail,mass,tail_loss,bcres,loc.int,site.int
C,8,7,even,11,0.285,CO,8_1,RB,41.4,48,1.38,N,0.102536419,3,3
C,8,7,even,11,0.285,CO,8_1,RB,46.5,49.7,1.32,N,-0.153997791,3,3
C,8,7,even,11,0.285,CO,8_1,RB,40.46,50.12,1.37,N,0.097585248,3,3
C,8,7,even,11,0.285,CO,8_1,RB,50.89,50.12,1.55,N,-0.079804487,3,3
C,8,7,even,11,0.285,CO,8_1,RB,40.19,50.3,1.42,N,0.154530843,3,3
C,8,7,even,11,0.285,CO,8_1,RB,47.3,50.6,1.46,N,-0.052940759,3,3
C,8,7,even,11,0.285,CO,8_1,RB,40.4,50.91,1.24,N,-0.040480058,3,3
C,8,7,even,11,0.285,CO,8_1,RB,45.6,52.5,1.37,N,-0.109031536,3,3
C,8,7,even,11,0.285,CO,8_1,RB,30.1,7.9,0.6,Y,0.20489434,3,3
C,8,7,even,11,0.285,CO,8_1,RB,35.1,27.2,0.71,Y,-0.103699137,3,3
C,8,7,even,11,0.285,CO,8_1,RB,35.9,29.6,0.58,Y,-0.291859647,3,3
C,8,7,rare,12,0.8,CO,8_2,RB,46,42.7,1.15,N,-0.217183152,4,3
C,8,7,rare,12,0.8,CO,8_2,RB,43.8,50.1,1.36,N,-0.026605471,4,3
C,8,7,rare,12,0.8,CO,8_2,RB,47.4,57.3,1.69,N,0.087794332,4,3
C,8,7,rare,12,0.8,CO,8_2,RB,43.8,16.8,0.98,Y,0.001432161,4,3
B,9,8,all,5,0,CO,9_4,RB,33.05,29.1,1.18,N,0.430794826,1,2
B,9,8,all,5,0,CO,9_4,RB,37.05,32.5,0.95,N,0.020172846,1,2
B,9,8,all,5,0,CO,9_4,RB,44.4,33.5,1.12,N,-0.074490675,1,2
B,9,8,all,5,0,CO,9_4,RB,33.15,37,0.61,N,-0.243844116,1,2
B,9,8,all,5,0,CO,9_4,RB,47.1,40,1.36,N,-0.010283687,1,2
